County,Year,Population
Franklin,2021,"46,801"
Franklin,2022,"46,112"
Franklin,2023,"46,224"
Franklin,2024,"46,983"
Fulton,1990,"54,336"
Fulton,1991,"54,744"
Fulton,1992,"54,814"
Fulton,1993,"55,122"
Fulton,1994,"55,232"
Fulton,1995,"55,217"
Fulton,1996,"55,388"
Fulton,1997,"55,102"
Fulton,1998,"54,971"
Fulton,1999,"55,011"
Fulton,2000,"54,976"
Fulton,2001,"54,904"
Fulton,2002,"54,988"
Fulton,2003,"55,081"
Fulton,2004,"55,233"
Fulton,2005,"55,301"
Fulton,2006,"55,328"
Fulton,2007,"55,489"
Fulton,2008,"55,584"
Fulton,2009,"55,558"
Fulton,2010,"55,461"
Fulton,2011,"55,156"
Fulton,2012,"54,923"
Fulton,2013,"54,458"
Fulton,2014,"54,077"
Fulton,2015,"53,982"
Fulton,2016,"53,845"
Fulton,2017,"54,049"
Fulton,2018,"53,921"
Fulton,2019,"53,634"
Fulton,2020,"53,084"
Fulton,2021,"52,862"
Fulton,2022,"52,403"
Fulton,2023,"52,468"
Fulton,2024,"52,184"
Genesee,1990,"60,167"
Genesee,1991,"60,529"
Genesee,1992,"60,856"
Genesee,1993,"61,164"
Genesee,1994,"61,282"
Genesee,1995,"61,105"
Genesee,1996,"61,288"
Genesee,1997,"61,216"
Genesee,1998,"60,877"
Genesee,1999,"60,554"
Genesee,2000,"60,539"
Genesee,2001,"60,321"
Genesee,2002,"60,289"
Genesee,2003,"60,412"
Genesee,2004,"60,224"
Genesee,2005,"60,068"
Genesee,2006,"59,919"
Genesee,2007,"59,930"
Genesee,2008,"59,895"
Genesee,2009,"59,932"
Genesee,2010,"59,963"
Genesee,2011,"60,051"
Genesee,2012,"59,967"
Genesee,2013,"59,536"
Genesee,2014,"59,279"
Genesee,2015,"59,148"
Genesee,2016,"58,809"
Genesee,2017,"58,739"
Genesee,2018,"58,546"
Genesee,2019,"58,576"
Genesee,2020,"58,299"
Genesee,2021,"57,925"
Genesee,2022,"57,584"
Genesee,2023,"58,016"
Genesee,2024,"58,428"
Greene,1990,"44,847"
Greene,1991,"45,298"
Greene,1992,"46,243"
Greene,1993,"46,716"
Greene,1994,"47,000"
Greene,1995,"47,187"
