County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Population,Index_Total_Rate,Property_Total_Rate,Violent_Total_Rate,Murder_Rate,Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,Burglary_Rate,Larceny_Rate,Motor_Vehicle_Theft_Rate
Allegany,2013,1592,108,0,18,8,82,1484,388,1068,28,48163,3305.4419367564315,3081.203413408633,224.2385233477981,0.0,37.37308722463302,16.610260988725788,170.2551751344393,805.5976579532005,2217.4698419948922,58.13591346054025
Allegany,2014,1230,136,4,18,6,108,1094,272,792,30,47992,2562.9271545257543,2279.5465910985163,283.38056342723786,8.334722453742291,37.50625104184031,12.502083680613437,225.03750625104186,566.7611268544757,1650.2750458409735,62.51041840306718
Allegany,2015,1158,114,0,56,0,58,1044,190,824,30,47749,2425.18167919747,2186.4332237324343,238.7484554650359,0.0,117.27994303545623,0.0,121.46851242957968,397.9140924417265,1725.690590378856,62.828540911851555
Allegany,2016,1144,162,0,72,0,90,982,242,696,44,47535,2406.647733249185,2065.846218575786,340.8015146733986,0.0,151.4673398548438,0.0,189.33417481855477,509.0985589565583,1464.18428526349,92.56337435573788
Allegany,2017,1018,160,4,68,6,82,858,160,670,28,47216,2156.04879701796,1817.180616740088,338.8681802778719,8.471704506946798,144.01897661809556,12.707556760420196,173.66994239240935,338.8681802778719,1419.0105049135886,59.301931548627586
Allegany,2018,916,150,2,58,8,82,766,172,568,26,46908,1952.7585912850689,1632.9837127995224,319.7748784855462,4.263665046473949,123.64628634774452,17.054660185895795,174.81026690543192,366.6751939967596,1210.8808731986016,55.427645604161334
Allegany,2019,914,122,0,60,2,60,792,194,546,52,46613,1960.8263789071718,1699.0968184841138,261.72956042305793,0.0,128.7194559457662,4.29064853152554,128.7194559457662,416.19290755797743,1171.3470491064725,111.55686181966405
Allegany,2020,804,146,6,76,6,58,658,172,430,56,46385,1733.3189608709713,1418.5620351406706,314.75692573030074,12.93521612590277,163.84607092810177,12.93521612590277,125.04042255039344,370.8095289425461,927.0238223563653,120.72868384175919
Allegany,2021,772,184,2,86,4,92,588,112,414,62,46753,1651.230937052168,1257.6733043868842,393.55763266528356,4.27780035505743,183.94541526746946,8.55560071011486,196.77881633264178,239.55681988321606,885.5046734968879,132.61181100678033
Allegany,2022,812,200,0,70,14,116,612,122,446,44,46646,1740.7709128328258,1312.0096042533123,428.76130857951375,0.0,150.06645800282982,30.013291600565967,248.681558976118,261.5443982335034,956.1377181323157,94.32748788749304
Allegany,2023,830,176,0,84,0,92,654,104,494,56,46694,1777.5303036792734,1400.608215188247,376.92208849102667,0.0,179.89463314344454,0.0,197.02745534758213,222.7266886537885,1057.9517711054953,119.92975542896305
Allegany,2024,762,160,0,48,8,104,602,90,482,30,46822,1627.4400922643204,1285.7203878518644,341.71970441245566,0.0,102.5159113237367,17.085985220622785,222.11780786809618,192.21733373200632,1029.430609542523,64.07244457733543
Bronx,1990,104729,33635,652,645,17873,14465,71094,19010,29115,22969,1207053,8676.421002226083,5889.8822172680075,2786.5387849580757,54.015855144720234,53.43593031954686,1480.7137714748235,1198.3732280189852,1574.910132363699,2412.0730407032665,1902.8990442010418
Bronx,1991,100071,33515,552,601,18074,14288,66556,18463,27506,20587,1214835,8237.414957586834,5478.604090267403,2758.81086731943,45.438269394609144,49.471738960434955,1487.7740598517494,1176.1267991126367,1519.794869262081,2264.1757934205057,1694.633427584816
Bronx,1992,92551,31050,547,566,16465,13472,61501,17699,26070,17732,1223153,7566.592241526612,5028.070895464427,2538.5213460621853,44.720488769597914,46.27385126799346,1346.1112387411877,1101.415767283406,1446.9980452159296,2131.3768596406176,1449.6959906078798
Bronx,1993,91927,31235,512,606,16386,13731,60692,18763,26273,15656,1238907,7420.0081200606655,4898.834214351844,2521.1739057088225,41.32675011118672,48.9140831394124,1322.6174361755968,1108.3156362826267,1514.4801022191334,2120.6595813890794,1263.6945307436313
Bronx,1994,84330,27863,393,546,13998,12926,56467,16440,25420,14607,1250789,6742.144358480927,4514.510441009635,2227.633917471292,31.420167590217055,43.652446575721406,1119.1336028698686,1033.4277004354851,1314.3703694228202,2032.3172013824872,1167.822870204327
Bronx,1995,73397,24660,302,556,11585,12217,48737,13996,23648,11093,1262064,5815.63217079324,3861.690056922628,1953.942113870612,23.929055895739044,44.05481813917519,917.9407700401881,968.0174697955097,1108.9770407839856,1873.7560060345593,878.9570101040836
Bronx,1996,63772,20615,248,530,10023,9814,43157,11374,22006,9777,1272693,5010.792076329483,3390.9984576013226,1619.7936187281614,19.48623902229367,41.64397855570825,787.5426359695543,771.1207651806052,893.695494514388,1729.0894190507843,768.2135440361501
Bronx,1997,57626,19592,195,538,9056,9803,38034,9524,20323,8187,1285683,4482.1312874168825,2958.271984618292,1523.8593027985903,15.167035731202793,41.84546268403643,704.372695291141,762.4741090922101,740.7735810460276,1580.7162418729968,636.782161699268
Bronx,1998,52464,18391,170,533,7661,10027,34073,8210,18558,7305,1300823,4033.1390204508994,2619.341755181143,1413.797265269756,13.068649616435133,40.97406026799957,588.934851244174,770.8197041411476,631.1389020643085,1426.635291657666,561.5675614591686
Bronx,1999,49928,16820,139,408,6836,9437,33108,7582,18376,7150,1317895,3788.4656971913546,2512.1879967675723,1276.2777004237819,10.547122494584167,30.958460271872948,518.7059667120674,716.0661509452574,575.3113867189722,1394.3447694998463,542.5318405487538
Bronx,2000,49537,16482,190,400,6123,9769,33055,7312,19101,6642,1334319,3712.5305118191377,2477.293660661356,1235.2368511577815,14.239473469237867,29.977838882606033,458.88576869549183,732.1337701104458,547.9948947740382,1431.5167512416447,497.7820146456732
Bronx,2001,46367,14793,191,404,5288,8910,31574,5702,20303,5569,1346555,3443.379587168738,2344.798392936048,1098.58119423269,14.184344493912242,30.002487830055216,392.7058308052771,661.6885311034455,423.45095447271,1507.7735406277502,413.5738978355879
Bronx,2002,44035,14112,172,443,5215,8282,29923,5057,19585,5281,1358739,3240.8726032004674,2202.262539015955,1038.6100641845123,12.658796133768147,32.60375980964704,383.81175486977264,609.5357533713245,372.18332586317166,1441.4100132549372,388.66919989784645
Bronx,2003,43071,13381,136,407,5170,7668,29690,5027,19851,4812,1362373,3161.4689956421626,2179.285702226923,982.1832934152395,9.982581862676374,29.87434425080356,379.4849134561533,562.8414538456062,368.98852223289805,1457.0899452646229,353.20723472940233
Bronx,2004,40939,12797,125,290,5076,7306,28142,4708,18904,4530,1358963,3012.5176329304036,2070.843724222072,941.6739087083313,9.198190090532266,21.339801010034858,373.5201031963343,537.6158144114299,346.4406315698073,1391.0606837713756,333.3424088808893
Bronx,2005,39024,12325,129,267,5057,6872,26699,4082,18487,4130,1351736,2886.954257340191,1975.1637893789912,911.7904679611995,9.543283599756165,19.75237768321625,374.11151289896844,508.3832937792587,301.98204383104394,1367.6487124704825,305.53303307746484
Bronx,2006,36655,11922,155,247,4882,6638,24733,3776,17526,3431,1348164,2718.882865882786,1834.5690880338002,884.3137778489856,11.497117561364938,18.321213146175094,362.1221157069911,492.37333143445454,280.0846187852517,1299.9902089063348,254.49426034221358
Bronx,2007,36053,11689,130,181,4613,6765,24364,3756,17617,2991,1354056,2662.5929799062965,1799.3347394790173,863.2582404272792,9.60078460565885,13.367246258648091,340.6801491223406,499.61006044063174,277.3888229142665,1301.0540184453228,220.89189811942785
Bronx,2008,35284,11345,132,191,4793,6229,23939,3408,17608,2923,1363488,2587.77488324063,1755.7176887512026,832.057194489427,9.681053298598886,14.008190757821117,351.5249125771551,456.84303785585206,249.94719425473494,1291.393836982797,214.37665751367084
Bronx,2009,33755,11242,113,163,4132,6834,22513,3563,16525,2425,1376261,2452.659778922748,1635.8089054329087,816.8508734898395,8.210651903962985,11.84368371987581,300.2337492670358,496.5627885989649,258.8898472019479,1200.7170151591886,176.20204307177198
Bronx,2010,34008,12070,127,191,4647,7105,21938,3223,16552,2163,1388573,2449.133030816529,1579.8953313941724,869.2376994223566,9.146080184477158,13.755128466418402,334.66011509657756,511.67637567488356,232.10879082338488,1192.0151119170544,155.771428653733
Bronx,2011,35130,12267,148,204,4580,7335,22863,3395,17358,2110,1405193,2500.0124538052783,1627.0362861187039,872.976167686574,10.532361035103362,14.517578724061392,325.93387527549595,521.9923526519133,241.60382239308055,1235.2751543738118,150.15730935181148
Bronx,2012,35962,12801,114,220,4731,7736,23161,3058,18454,1649,1425939,2521.987265934938,1624.263029484431,897.7242364505073,7.9947318924582325,15.428429967901852,331.78137353701663,542.5197010531307,214.45517655383577,1294.164757398458,115.64309553213708
Bronx,2013,36280,13020,83,189,4456,8292,23260,2795,19016,1449,1442945,2514.3023469363,1611.981052638874,902.3212942974263,5.752124994369154,13.098212336575546,308.8128792157705,574.6580777507112,193.7010766176119,1317.8603481075163,100.41962791374586
Bronx,2014,36030,12713,95,242,4004,8372,23317,2739,19104,1474,1458516,2470.3191463103594,1598.6797539416775,871.6393923686816,6.513469855661508,16.592207421790366,274.5256137059861,574.0081013852437,187.79362036480916,1309.8245065532362,101.06162702363224
